"image","xmin","ymin","xmax","ymax","label"
"10.jpg",485.58983893341554,426.4638157894737,584.4965705918619,615.9375,"Player1"
"10.jpg",638.1587160912454,435.9375,706.5516145191123,591.727005807977,"Player2"
"100.jpg",706.5516145191123,358.0427952816612,787.5709001233047,569.6217426500823,"Player1"
"100.jpg",607.6448828606658,272.7796373869243,665.5158561960542,421.2006900185033,"Player2"
"100.jpg",370.90012330456227,320.14805843955594,920.1479654747226,432.7796052631579,"Net"
"1.jpg",485.58983893341554,424.3585847553454,575.0267802096178,619.0953947368421,"Player1"
"1.jpg",667.6202219482121,450.6743581671464,727.5955610357584,602.2533537212171,"Player2"
"0.jpg",469.8068549630086,404.35855263157896,573.9745491676942,612.7796052631579,"Player1"
"0.jpg",664.4636251541307,444.3585686934622,743.3785450061653,595.9375642475329,"Player2"
"1000.jpg",661.3070283600493,416.9901315789474,778.1011097410604,627.516511615954,"Player1"
"1000.jpg",616.0625385326757,271.7269736842105,712.8648081072749,403.3059371145148,"Player2"
"1000.jpg",369.84794042848335,318.04277921977797,916.9913686806412,429.6217105263158,"Net"
"1002.jpg",384.57874152281136,127.51645539936267,1060.090455456227,712.7796695106908,"Player1"
"1010.jpg",259.36705263563505,184.3585847553454,1117.9614287916154,710.6743421052632,"Player2"
"1001.jpg",646.5762754315659,409.621726588199,771.7879161528977,631.7269736842105,"Player1"
"1001.jpg",609.7493449445129,279.09542686060854,701.290651972873,402.2533215974506,"Player2"
"1001.jpg",544.5129469790382,300.1480263157895,565.5569898273736,321.20067395662005,"Shuttlecock"
"1001.jpg",369.84794042848335,321.20067395662005,914.8870029284833,433.83226896587166,"Net"
"1011.jpg",237.27087507706534,199.0953947368421,1106.387176325524,703.3059853001645,"Player2"
"101.jpg",692.8729963008632,358.0427952816612,777.0489750308262,566.4638479132402,"Player1"
"101.jpg",606.5927481504316,268.56907894736844,666.5680872379778,409.62172658819907,"Player2"
"101.jpg",367.7435265104809,315.9375,921.2001965166462,408.5691110711349,"Net"
"1022.jpg",679.1944744143034,341.2006578947368,775.9967439889026,564.3585686934622,"Player1"
"1022.jpg",577.1311459617756,332.7796373869243,598.1750924784217,348.56911107113484,"Shuttlecock"
"1022.jpg",580.2877427558569,261.20067395662005,646.5762754315659,409.621726588199,"Player2"
"1022.jpg",338.2819724876695,307.5164794921875,916.9913686806412,407.51644736842104,"Net"
"1023.jpg",669.7246840320591,335.93753212376646,769.6835504007398,562.2532894736842,"Player1"
"1023.jpg",579.2355117139334,331.7269736842105,596.0707267262638,344.35855263157896,"Shuttlecock"
"1023.jpg",577.1311459617756,259.0953947368421,653.9417000616522,415.93751606188323,"Player2"
"1023.jpg",341.4385692817509,313.8322689658717,915.9392339704069,395.93753212376646,"Net"
"1020.jpg",676.0378776202219,341.2006578947368,772.8401471948212,568.5690789473684,"Player1"
"1020.jpg",571.8701834155364,261.20067395662005,647.6285064734896,419.0954107987253,"Player2"
"1020.jpg",337.22978961159066,306.4638157894737,916.9913686806412,413.83223684210526,"Net"
"1021.jpg",575.0267802096178,327.51646343030427,596.0707267262638,348.56911107113484,"Shuttlecock"
"1021.jpg",680.2466091245376,345.41121633429276,771.7879161528977,566.4638479132401,"Player1"
"1021.jpg",578.1833770036991,255.9375,643.4196786374846,403.3059371145148,"Player2"
"1021.jpg",338.2819724876695,309.6217105263158,915.9392339704068,407.51644736842104,"Net"
"102.jpg",701.290651972873,359.0954107987253,795.9885557953144,571.7269736842105,"Player1"
"102.jpg",606.5927481504316,272.7796373869243,671.829049784217,411.727005807977,"Player2"
"102.jpg",370.90012330456227,324.3585686934622,918.0435997225647,402.2533215974507,"Net"
